membership_id,user_id,race_seq,race_id,points_total,breakdown_json
"d6a944da-31d2-4536-b387-bcb65499b4ec","","7","521d4c6b-325f-4c01-91e0-04fef094368f","13","{""place"":[13]}"
"eea30450-2214-42c6-a02c-305e4f4ccebe","","7","521d4c6b-325f-4c01-91e0-04fef094368f","0","{""place"":[0]}"
"a080f2c7-6169-4aa6-97f7-ef1f73913da3","","7","521d4c6b-325f-4c01-91e0-04fef094368f","13","{""place"":[13]}"
"3105abf2-34ff-4f9c-8e08-9a61107b342d","","7","521d4c6b-325f-4c01-91e0-04fef094368f","13","{""place"":[13]}"
"78bab82e-ad1e-419a-88af-cefcb038db4d","","7","521d4c6b-325f-4c01-91e0-04fef094368f","13","{""place"":[13]}"
"0d092c0f-0434-4981-a4eb-1734f590030c","","7","521d4c6b-325f-4c01-91e0-04fef094368f","13","{""place"":[13]}"
"8f5b17c7-538d-4f32-930f-822ed2a4a644","","7","521d4c6b-325f-4c01-91e0-04fef094368f","0","{""place"":[0]}"
"0beebaa8-cc08-4bc9-a891-12e92b9c33f9","","7","521d4c6b-325f-4c01-91e0-04fef094368f","0","{""place"":[0]}"
"31196ca0-f040-48c0-9dc8-517bc0362ff8","","7","521d4c6b-325f-4c01-91e0-04fef094368f","0","{""place"":[0]}"
"1c12f077-9445-4c1f-8e21-b0e678f5ec9b","","7","521d4c6b-325f-4c01-91e0-04fef094368f","7","{""place"":[7]}"
"85c12ba4-5662-4c7a-bf3d-89ad412dffd7","","8","a752ae7d-be05-4fb1-b12a-c235ef351bdd","0","{""place"":[0]}"
"eea30450-2214-42c6-a02c-305e4f4ccebe","","8","a752ae7d-be05-4fb1-b12a-c235ef351bdd","4","{""place"":[4]}"
"a080f2c7-6169-4aa6-97f7-ef1f73913da3","","8","a752ae7d-be05-4fb1-b12a-c235ef351bdd","0","{""place"":[0]}"
"3105abf2-34ff-4f9c-8e08-9a61107b342d","","8","a752ae7d-be05-4fb1-b12a-c235ef351bdd","0","{""place"":[0]}"
"78bab82e-ad1e-419a-88af-cefcb038db4d","","8","a752ae7d-be05-4fb1-b12a-c235ef351bdd","0","{""place"":[0]}"
"0d092c0f-0434-4981-a4eb-1734f590030c","","8","a752ae7d-be05-4fb1-b12a-c235ef351bdd","0","{""place"":[0]}"
"8f5b17c7-538d-4f32-930f-822ed2a4a644","","8","a752ae7d-be05-4fb1-b12a-c235ef351bdd","0","{""place"":[0]}"
"ba31a223-47a8-4122-b142-3d177ee4f166","","8","a752ae7d-be05-4fb1-b12a-c235ef351bdd","0","{""place"":[0]}"
"de61b26a-b9fe-4812-aa32-868971eeaaed","","8","a752ae7d-be05-4fb1-b12a-c235ef351bdd","0","{""place"":[0]}"
"404ddd3b-7c2d-4d1a-8a0c-b65647314581","","8","a752ae7d-be05-4fb1-b12a-c235ef351bdd","0","{""place"":[0]}"
"acf3f1a3-b162-45dd-b9a3-9d550999cec3","","8","a752ae7d-be05-4fb1-b12a-c235ef351bdd","0","{""place"":[0]}"
"4c9818e7-5ef8-475b-9cbd-d8732faf43d3","","8","a752ae7d-be05-4fb1-b12a-c235ef351bdd","0","{""place"":[0]}"
"4ab02b52-4738-42fc-bbd6-f693d956e2cd","","8","a752ae7d-be05-4fb1-b12a-c235ef351bdd","0","{""place"":[0]}"
"d6a944da-31d2-4536-b387-bcb65499b4ec","","8","a752ae7d-be05-4fb1-b12a-c235ef351bdd","0","{""place"":[0]}"
"31196ca0-f040-48c0-9dc8-517bc0362ff8","","8","a752ae7d-be05-4fb1-b12a-c235ef351bdd","0","{""place"":[0]}"
"1c12f077-9445-4c1f-8e21-b0e678f5ec9b","","8","a752ae7d-be05-4fb1-b12a-c235ef351bdd","0","{""place"":[0]}"
"0beebaa8-cc08-4bc9-a891-12e92b9c33f9","","8","a752ae7d-be05-4fb1-b12a-c235ef351bdd","0","{""place"":[0]}"
"85c12ba4-5662-4c7a-bf3d-89ad412dffd7","","9","1fa2750b-b0c8-4fed-aeb7-db938839fc2e","13","{""place"":[13]}"
"ba31a223-47a8-4122-b142-3d177ee4f166","","9","1fa2750b-b0c8-4fed-aeb7-db938839fc2e","0","{""place"":[0]}"
"de61b26a-b9fe-4812-aa32-868971eeaaed","","9","1fa2750b-b0c8-4fed-aeb7-db938839fc2e","0","{""place"":[0]}"
"404ddd3b-7c2d-4d1a-8a0c-b65647314581","","9","1fa2750b-b0c8-4fed-aeb7-db938839fc2e","2","{""place"":[2]}"
"acf3f1a3-b162-45dd-b9a3-9d550999cec3","","9","1fa2750b-b0c8-4fed-aeb7-db938839fc2e","0","{""place"":[0]}"
"4c9818e7-5ef8-475b-9cbd-d8732faf43d3","","9","1fa2750b-b0c8-4fed-aeb7-db938839fc2e","0","{""place"":[0]}"
"4ab02b52-4738-42fc-bbd6-f693d956e2cd","","9","1fa2750b-b0c8-4fed-aeb7-db938839fc2e","0","{""place"":[0]}"
"d6a944da-31d2-4536-b387-bcb65499b4ec","","9","1fa2750b-b0c8-4fed-aeb7-db938839fc2e","2","{""place"":[2]}"
"eea30450-2214-42c6-a02c-305e4f4ccebe","","9","1fa2750b-b0c8-4fed-aeb7-db938839fc2e","2","{""place"":[2]}"
"a080f2c7-6169-4aa6-97f7-ef1f73913da3","","9","1fa2750b-b0c8-4fed-aeb7-db938839fc2e","4","{""place"":[4]}"
"3105abf2-34ff-4f9c-8e08-9a61107b342d","","9","1fa2750b-b0c8-4fed-aeb7-db938839fc2e","0","{""place"":[0]}"
"78bab82e-ad1e-419a-88af-cefcb038db4d","","9","1fa2750b-b0c8-4fed-aeb7-db938839fc2e","0","{""place"":[0]}"
"0d092c0f-0434-4981-a4eb-1734f590030c","","9","1fa2750b-b0c8-4fed-aeb7-db938839fc2e","0","{""place"":[0]}"
"8f5b17c7-538d-4f32-930f-822ed2a4a644","","9","1fa2750b-b0c8-4fed-aeb7-db938839fc2e","0","{""place"":[0]}"
"0beebaa8-cc08-4bc9-a891-12e92b9c33f9","","9","1fa2750b-b0c8-4fed-aeb7-db938839fc2e","0","{""place"":[0]}"
"31196ca0-f040-48c0-9dc8-517bc0362ff8","","9","1fa2750b-b0c8-4fed-aeb7-db938839fc2e","13","{""place"":[13]}"
"1c12f077-9445-4c1f-8e21-b0e678f5ec9b","","9","1fa2750b-b0c8-4fed-aeb7-db938839fc2e","4","{""place"":[4]}"
